TIPO_DATO;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CLASE_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;DÍA SEMANA;TURNO;HORA INICIO;HORA FINAL;URL GOOGLE MAPS;RESIDUOS ADMISIBLES
Punto Limpio Móvil;Calle Antonio López, 246-248 ;;Calle;Antonio López;número;246-248;12;USERA;440926,94;4470378,91;40.38190628;-3.695938392;Viernes;Mañana;10:30;12:00;https://goo.gl/maps/SL5CAWcScMmUJyW89;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Coníferas, 10 ;;Calle;Coníferas;número;10;12;USERA;441027,29;4468717,44;40.36694595;-3.694602542;Viernes;Tarde;19:15;20:45;https://goo.gl/maps/tdSqvXeTNfGiQmCA9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle del Santuario,  Intersección con Calle Hijas de Jesús y Calle San Antonio de Padua;Intersección con Calle Hijas de Jesús y Calle San Antonio de Padua;Calle;del Santuario;número;;12;USERA;440572,26;4470721,15;40.38496415;-3.700148519;Martes;Tarde;14:00;15:30;https://goo.gl/maps/EwC7ju6c4vAXYHfF7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Dolores Barranco, 50 ;;Calle;Dolores Barranco;número;50;12;USERA;440003,69;4470544,29;40.38333013;-3.706829993;Martes;Tarde;15:45;17:15;https://goo.gl/maps/CwCwELdAfAjr6ubeA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Estafeta, 20 Frente al número 7;Frente al número 7;Calle;Estafeta;número;20;12;USERA;441213,67;4469426,02;40.37334237;-3.692472821;Viernes;Tarde;17:30;19:00;https://goo.gl/maps/fQ7LQucSmUepap1RA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Gran Avenida, 31 ;;Calle;Gran Avenida;número;31;12;USERA;440045,72;4469024,45;40.36964168;-3.706191846;Viernes;Mañana;7:00;8:30;https://goo.gl/maps/Pg2WPzPUJZDgbEju9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Guetaria, 47 Intersección con Calle Villabona;Intersección con Calle Villabona;Calle;Guetaria;número;47;12;USERA;439253,30;4468975,92;40.36914712;-3.715520337;Martes;Mañana;7:00;8:30;https://goo.gl/maps/qicMZKENR9jovRMo8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Manuel Noya, 15 ;;Calle;Manuel Noya;número;15;12;USERA;439532,69;4470930,76;40.38677762;-3.712415205;Martes;Tarde;19:15;20:45;https://goo.gl/maps/ZPi1Rd2c8i7d9yJi8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Mariblanca, 18-20 Entre los número 18 y 20;Entre los número 18 y 20;Calle;Mariblanca;número;18-20;12;USERA;440065,32;4471458,49;40.39157013;-3.706189993;Viernes;Tarde;14:00;15:30;https://goo.gl/maps/tG2mmKkocwwq3XPP9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Orcasur, 44 Intersección con Calle Arenas del Rey, junto al Centro de Salud;Intersección con Calle Arenas del Rey, junto al Centro de Salud;Avenida;Orcasur;número;44;12;USERA;440506,50;4468567,22;40.36555568;-3.700722153;Martes;Mañana;10:30;12:00;https://goo.gl/maps/nBixGiu8fazBXnrj8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Parque de la Paloma, 32 ;;Calle;Parque de la Paloma;número;32;12;USERA;439336,43;4470025,17;40.37860534;-3.714641117;Viernes;Mañana;8:45;10:15;https://goo.gl/maps/FvEnHz4Cx2Eoduc9A;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Periana, 6 ;;Calle;Periana;número;6;12;USERA;441543,92;4468873,40;40.36838731;-3.688532197;Martes;Mañana;12:15;13:45;https://goo.gl/maps/LV5hwYb5SP9zWv8G9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Rafaela Ybarra, 20 ;;Avenida;Rafaela Ybarra;número;20;12;USERA;439616,80;4470396,11;40.38196732;-3.711373636;Martes;Tarde;17:30;19:00;https://goo.gl/maps/HudLeF4jHDvwHnB57;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Simca, 4 Intersección con Calle Dodge;Intersección con Calle Dodge;Calle;Simca;número;4;12;USERA;439712,10;4468664,29;40.36637303;-3.710087199;Martes;Mañana;8:45;10:15;https://goo.gl/maps/cqxUgtH5DsLeH6CY7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Virgen de las Cruces, 2-4 ;;Calle;Virgen de las Cruces;número;2-4;12;USERA;441219,87;4469970,76;40.37825013;-3.692449994;Viernes;Tarde;15:45;17:15;https://goo.gl/maps/MFBQtuJqnEjwuSuX9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Andaluces, 9 ;;Calle;Andaluces;número;9;13;PUENTE VALLECAS;445969,39;4471231,37;40.38992802;-3.636609339;Martes;Mañana;12:15;13:45;https://goo.gl/maps/WKH6GEve92HvvQXp9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Arroyo del Olivar,  Intersección con Calle Martínez de la Riva, 18;Intersección con Calle Martínez de la Riva, 18;Calle;Arroyo del Olivar;número;;13;PUENTE VALLECAS;443463,25;4471710,98;40.39408233;-3.666178413;Jueves;Tarde;15:45;17:15;https://goo.gl/maps/qRC1xDXJ8rQZfYPm7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Cooperativa Eléctrica, 18 ;;Calle;Cooperativa Eléctrica;número;18;13;PUENTE VALLECAS;443927,89;4469543,93;40.37459162;-3.660513091;Martes;Mañana;7:00;8:30;https://goo.gl/maps/LQfLvZP7erKsPYuc9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida de Buenos Aires, 25 ;;Avenida;de Buenos Aires;número;25;13;PUENTE VALLECAS;444594,75;4470982,35;40.3875944;-3.652783229;Martes;Tarde;19:15;20:45;https://goo.gl/maps/qpS6uJqKboieCcpV8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida de Buenos Aires, 99 ;;Avenida;de Buenos Aires;número;99;13;PUENTE VALLECAS;444592,00;4470080,53;40.37947003;-3.65273719;Jueves;Mañana;12:15;13:45;https://goo.gl/maps/NGS9HFjv6kVJKw9f6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Diligencia, 22 Intersección con Calle la Violetera, frente al Vivero de Empresas;Intersección con Calle la Violetera, frente al Vivero de Empresas;Calle;Diligencia;número;22;13;PUENTE VALLECAS;444302,77;4470488,95;40.38313013;-3.656179994;Martes;Mañana;8:45;10:15;https://goo.gl/maps/Ny9a873aJiN3Lmx68;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Humanes, 27 ;;Calle;Humanes;número;27;13;PUENTE VALLECAS;445210,15;4471826,88;40.39524315;-3.645605693;Martes;Tarde;15:45;17:15;https://goo.gl/maps/gou5tYyJ9Dqp9F8b6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Javier de Miguel, 40 ;;Calle;Javier de Miguel;número;40;13;PUENTE VALLECAS;443928,66;4470983,48;40.38756002;-3.660630692;Jueves;Tarde;17:30;19:00;https://goo.gl/maps/RQ8qz7m4wm7MZiKd8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle La Mancha, 2 ;;Calle;La Mancha;número;2;13;PUENTE VALLECAS;443184,26;4470315,25;40.38148977;-3.669341034;Sabado;Tarde;14:00;15:30;https://goo.gl/maps/ZSmm3NKPZmJ6qzwLA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Marismas, 24 ;;Calle;Marismas;número;24;13;PUENTE VALLECAS;444538,49;4472519,71;40.40144013;-3.653579994;Martes;Tarde;14:00;15:30;https://goo.gl/maps/9BR4fwh4nUkGrSwj9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Monleón, 2 ;;Calle;Monleón;número;2;13;PUENTE VALLECAS;444390,17;4471517,84;40.39240479;-3.655240189;Jueves;Tarde;14:00;15:30;https://goo.gl/maps/1PSFgJDeysqLtwJn7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Pablo Neruda, 89 ;;Avenida;Pablo Neruda;número;89;13;PUENTE VALLECAS;443966,93;4470271,88;40.38115207;-3.660117241;Sabado;Tarde;15:45;17:15;https://goo.gl/maps/ChgzsC8ZeQqW8i7L6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Rafael Alberti, 34 ;;Avenida;Rafael Alberti;número;34;13;PUENTE VALLECAS;445452,36;4470656,43;40.3847149;-3.642651544;Sabado;Tarde;17:30;19:00;https://goo.gl/maps/MJjexN2i4PK2mSiv7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Rafael Fernández Hijicos, 32 ;;Calle;Rafael Fernández Hijicos;número;32;13;PUENTE VALLECAS;446071,56;4471283,04;40.39040013;-3.635409994;Martes;Tarde;17:30;19:00;https://goo.gl/maps/shXZQU2WZAYkW63p7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Ramírez Tomé, 38 ;;Calle;Ramírez Tomé;número;38;13;PUENTE VALLECAS;445128,90;4471110,68;40.38878583;-3.646501324;Jueves;Mañana;10:30;12:00;https://goo.gl/maps/p5ZetZwM6DS6vKJ86;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Ruidera, 26 ;;Calle;Ruidera;número;26;13;PUENTE VALLECAS;442665,31;4470184,77;40.38027879;-3.675442596;Jueves;Tarde;19:15;20:45;https://goo.gl/maps/ZqZraJtgUmhejyCw9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida San Diego, 78 Intersección con Calle Manuel Maroto;Intersección con Calle Manuel Maroto;Avenida;San Diego;número;78;13;PUENTE VALLECAS;443184,53;4471012,40;40.38777013;-3.669399994;Martes;Mañana;10:30;12:00;https://goo.gl/maps/qwNT7hpGRavsSTvM7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida San Diego, 111 ;;Avenida;San Diego;número;111;13;PUENTE VALLECAS;443629,46;4470440,95;40.38265243;-3.664107653;Sabado;Mañana;12:15;13:45;https://goo.gl/maps/5BNVeAwpgTN8nUZe8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Santa Marta, 15 ;;Calle;Santa Marta;número;15;13;PUENTE VALLECAS;443822,93;4472671,33;40.40275803;-3.662025225;Jueves;Mañana;7:00;8:30;https://goo.gl/maps/yNC4RnDb9KmXZhqV7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Camino Valderribas, 99 ;;Camino;Valderribas;número;99;13;PUENTE VALLECAS;443298,92;4472633,08;40.40237793;-3.668196679;Jueves;Mañana;8:45;10:15;https://goo.gl/maps/QnYdoBECRjdVLBKYA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Camino de los Vinateros, 10-12 ;;Calle;Camino de los Vinateros;número;10-12;14;MORATALAZ;443962,20;4473544,21;40.41063083;-3.660460934;Viernes;Tarde;14:00;15:30;https://goo.gl/maps/3QoANCJTdsqDm9UF9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Camino de Vinateros, 108 ;;Calle;Camino de Vinateros;número;108;14;MORATALAZ;445107,48;4473267,68;40.40821598;-3.646939656;Viernes;Mañana;10:30;12:00;https://goo.gl/maps/37PLJUocZYuabFAL9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Camino de Vinateros, 63 ;;Calle;Camino de Vinateros;número;63;14;MORATALAZ;444685,42;4473515,98;40.41042488;-3.651935154;Viernes;Mañana;12:15;13:45;https://goo.gl/maps/PoYyRwstPQbXZBKJ7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Doctor García Tapia, 135 ;;Avenida;Doctor García Tapia;número;135;14;MORATALAZ;445941,63;4473366,16;40.40915774;-3.63711767;Jueves;Tarde;17:30;19:00;https://goo.gl/maps/iGqZwtEUBVFdBoTR8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Encomienda de Palacios, 360 ;;Calle;Encomienda de Palacios;número;360;14;MORATALAZ;446155,78;4472002,79;40.39688953;-3.634478572;Viernes;Mañana;8:45;10:15;https://goo.gl/maps/J5rFEqiMLU5GjDUf6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Fuente Carrantona, 41 ;;Calle;Fuente Carrantona;número;41;14;MORATALAZ;446443,54;4473270,54;40.40832878;-3.631194585;Jueves;Tarde;19:15;20:45;https://goo.gl/maps/N5CMgfbYSvy1Yw326;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Hacienda de Pavones, 220 ;;Calle;Hacienda de Pavones;número;220;14;MORATALAZ;445687,07;4472498,22;40.40132224;-3.640043602;Viernes;Mañana;7:00;8:30;https://goo.gl/maps/mPBM6Dsmmssz795T6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Hacienda de Pavones, 72 ;;Calle;Hacienda de Pavones;número;72;14;MORATALAZ;445169,27;4472738,84;40.40345595;-3.646165909;Viernes;Mañana;8:45;10:15;https://goo.gl/maps/uBNDJS7ptcTc5MiY8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Moratalaz, 39 ;;Avenida;Moratalaz;número;39;14;MORATALAZ;444112,81;4473200,76;40.40754695;-3.658655805;Viernes;Tarde;15:45;17:15;https://goo.gl/maps/LLnMr55NmAWwq8SY8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Pico de Artilleros, 55 ;;Calle;Pico de Artilleros;número;55;14;MORATALAZ;445592,60;4472886,08;40.40481013;-3.641189994;Viernes;Tarde;17:30;19:00;https://goo.gl/maps/ALtQM7N7ioVWKJow8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Tacona, 1 Intersección con Arroyo Fontarrón;Intersección con Arroyo Fontarrón;Calle;Tacona;número;1;14;MORATALAZ;445589,72;4471957,48;40.3964446;-3.641144577;Viernes;Tarde;19:15;20:45;https://goo.gl/maps/29cSZHvwxrQXti9y5;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Valdebernardo, 45 ;;Calle;Valdebernardo;número;45;14;MORATALAZ;446384,26;4472738,44;40.40353147;-3.631848368;Viernes;Mañana;7:00;8:30;https://goo.gl/maps/mEWFkr3g1FUrvx1d6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Agastia, 42 Frente al número 42;Frente al número 42;Calle;Agastia;número;42;15;CIUDAD LINEAL;444793,35;4477415,59;40.44556187;-3.65100177;Lunes;Tarde;14:00;15:30;https://goo.gl/maps/4bBqv7h1RzjqrFMSA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Alcalá, 287 Intersección con Calle Buen Gobernador;Intersección con Calle Buen Gobernador;Calle;Alcalá;número;287;15;CIUDAD LINEAL;444506,16;4475947,80;40.43232013;-3.654259994;Martes;Tarde;15:45;17:15;https://goo.gl/maps/jNuWKF1VQ6ddhWx77;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Arturo Soria, 242 ;;Calle;Arturo Soria;número;242;15;CIUDAD LINEAL;443589,38;4479647,50;40.46558716;-3.66539655;Lunes;Tarde;17:30;19:00;https://goo.gl/maps/Tgj35GwdQMMYUTMWA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Arturo Soria, 320 ;;Calle;Arturo Soria;número;320;15;CIUDAD LINEAL;443357,17;4481056,31;40.47826258;-3.668261241;Viernes;Mañana;10:30;12:00;https://goo.gl/maps/kBw2HC3z2Vw7XGe99;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Cañas,  Frente al número 13;Frente al número 13;Calle;Cañas;número;;15;CIUDAD LINEAL;444088,00;4478794,51;40.45793674;-3.659440281;Lunes;Tarde;15:45;17:15;https://goo.gl/maps/biUWxguqRajvZZeM7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Elfo, 55-57 ;;Calle;Elfo;número;55-57;15;CIUDAD LINEAL;444683,80;4476110,77;40.43380013;-3.652179994;Viernes;Tarde;15:45;17:15;https://goo.gl/maps/jZ64bgmsEuLHE5Gj9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Ezequiel Solana, 73 ;;Calle;Ezequiel Solana;número;73;15;CIUDAD LINEAL;445454,96;4475511,91;40.42845615;-3.643037113;Martes;Tarde;19:15;20:45;https://goo.gl/maps/32B9wKF6bFtLXnt66;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Gómez de Avellaneda, 14 ;;Calle;Gómez de Avellaneda;número;14;15;CIUDAD LINEAL;445480,21;4476101,61;40.43377013;-3.642789994;Lunes;Mañana;10:30;12:00;https://goo.gl/maps/e6dqqkuz8xY9KvQKA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Hermanos Machado,  Intersección con Calle Los Collados;Intersección con Calle Los Collados;Calle;Hermanos Machado;número;;15;CIUDAD LINEAL;444949,64;4475812,43;40.43113013;-3.649019994;Martes;Tarde;17:30;19:00;https://goo.gl/maps/45zSuUig9i2H5Xpk8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Hermanos García Noblejas, 158 ;;Avenida;Hermanos García Noblejas;número;158;15;CIUDAD LINEAL;446637,11;4475121,56;40.42501632;-3.629068666;Viernes;Tarde;19:15;20:45;https://goo.gl/maps/3HGn1chT21RxrtfY7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle José del Hierro, 37 Intersección con Calle Rosalía Trujillo;Intersección con Calle Rosalía Trujillo;Calle;José del Hierro;número;37;15;CIUDAD LINEAL;445310,31;4476784,75;40.43991309;-3.64485179;Viernes;Tarde;14:00;15:30;https://goo.gl/maps/z7Wro6Hbkz3Knhr16;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Julio Dánvila, 1 Frente al colegio;Frente al colegio;Calle;Julio Dánvila;número;1;15;CIUDAD LINEAL;443458,44;4480309,30;40.47154013;-3.666999994;Lunes;Tarde;19:15;20:45;https://goo.gl/maps/Sq87YKgZQeaAoVuJ6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle María Teresa Sáenz de Heredia, 44 ;;Calle;María Teresa Sáenz de Heredia;número;44;15;CIUDAD LINEAL;444790,08;4475198,42;40.4255882;-3.650847751;Viernes;Tarde;17:30;19:00;https://goo.gl/maps/BJZZcf8hzKiVuYRy6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle San Marcelo, 6 ;;Calle;San Marcelo;número;6;15;CIUDAD LINEAL;444161,68;4475366,47;40.42706013;-3.658269994;Lunes;Mañana;7:00;8:30;https://goo.gl/maps/Wu7guiE3FbDrRxtL7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Santurce,  Intersección con Calle Luis Ruiz;Intersección con Calle Luis Ruiz;Calle;Santurce;número;;15;CIUDAD LINEAL;446077,17;4475366,87;40.42719013;-3.635689994;Lunes;Mañana;8:45;10:15;https://goo.gl/maps/ACkuSvCXgXHnUhrJ7;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Torrelaguna, 66 ;;Calle;Torrelaguna;número;66;15;CIUDAD LINEAL;444284,28;4477775,95;40.44877423;-3.657036057;Viernes;Mañana;12:15;13:45;https://goo.gl/maps/Lu7ErZvCAX5Vb6gM8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Virgen de África, 14 ;;Calle;Virgen de África;número;14;15;CIUDAD LINEAL;444534,76;4476616,93;40.43834992;-3.653981217;Lunes;Mañana;12:15;13:45;https://goo.gl/maps/7nVGxxAm3d2JXmGG8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;calle Abelias, 1 esquina Avda. Arces ;esquina Avda. Arces ;calle;Abelias;número;1;16;HORTALEZA;447020,91;4478148,67;40.4523108158298;-3.62479689737055;Jueves;Tarde;15:45;17:15;https://goo.gl/maps/6TSngHxjY8n1oXWD8;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Celio Villalba,  Intersección con Calle Manizales;Intersección con Calle Manizales;Avenida;Celio Villalba;número;;16;HORTALEZA;446022,61;4480624,50;40.47455013;-3.636779994;Martes;Tarde;14:00;15:30;https://goo.gl/maps/Uyi4RtGGcXLtLxRH6;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Cuevas de la Almanzora, 18 ;;Calle;Cuevas de la Almanzora;número;18;16;HORTALEZA;444128,94;4480874,57;40.47667771;-3.659140563;Sabado;Mañana;10:30;12:00;https://goo.gl/maps/5Jx6Y4FSaoQCLydBA;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Carretera de Canillas, 39 Intersección con Calle Andrés Obispo;Intersección con Calle Andrés Obispo;Carretera;de Canillas;número;39;16;HORTALEZA;445060,54;4479364,92;40.46314013;-3.648019994;Martes;Tarde;17:30;19:00;https://goo.gl/maps/5ws65NxmNJJeDWTq5;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Estíbaliz, 28 Intersección con Calle Pablo Serano;Intersección con Calle Pablo Serano;Calle;Estíbaliz;número;28;16;HORTALEZA;445059,54;4480153,07;40.47024013;-3.648099994;Jueves;Mañana;8:45;10:15;https://goo.gl/maps/wVzNZZizSimsU4DN9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Francisco Pi y Margall, 72 ;;Avenida;Francisco Pi y Margall;número;72;16;HORTALEZA;444145,15;4482435,53;40.49074059;-3.659086913;Sabado;Mañana;12:15;13:45;https://goo.gl/maps/k3ZgfdkcXGHhdCn87;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Calle Luis Moya Blanco, 27 ;;Calle;Luis Moya Blanco;número;27;16;HORTALEZA;447765,99;4482999,86;40.49606013;-3.616409994;Sabado;Tarde;15:45;17:15;https://goo.gl/maps/SRrxTcJfnPZT9PSU9;http://run.gob.es/PuntoMOVILResiduos
Punto Limpio Móvil;Avenida Madroños, 61 ;;Avenida;Madroños;número;61;16;HORTALEZA;446340,39;4478598,57;40.45632013;-3.632859994;Martes;Tarde;19:15;20:45;https://goo.gl/maps/DosXxogzqafNoo1k6;http://run.gob.es/PuntoMOVILResiduos
